MoveEvent(x=743, y=231, time=1643694477.659302)
MoveEvent(x=743, y=231, time=1643694477.659302)
MoveEvent(x=769, y=235, time=1643694477.667304)
MoveEvent(x=769, y=235, time=1643694477.667304)
MoveEvent(x=797, y=239, time=1643694477.675305)
MoveEvent(x=797, y=239, time=1643694477.675305)
MoveEvent(x=831, y=243, time=1643694477.68331)
MoveEvent(x=831, y=243, time=1643694477.68331)
MoveEvent(x=857, y=247, time=1643694477.691304)
MoveEvent(x=857, y=247, time=1643694477.691304)
MoveEvent(x=889, y=251, time=1643694477.699302)
MoveEvent(x=889, y=251, time=1643694477.699302)
MoveEvent(x=919, y=255, time=1643694477.7073)
MoveEvent(x=919, y=255, time=1643694477.7073)
MoveEvent(x=949, y=259, time=1643694477.715303)
MoveEvent(x=949, y=259, time=1643694477.715303)
MoveEvent(x=981, y=263, time=1643694477.72331)
MoveEvent(x=981, y=263, time=1643694477.72331)
MoveEvent(x=1019, y=267, time=1643694477.731302)
MoveEvent(x=1019, y=267, time=1643694477.731302)
MoveEvent(x=1053, y=271, time=1643694477.739305)
MoveEvent(x=1053, y=271, time=1643694477.739305)
MoveEvent(x=1085, y=273, time=1643694477.747304)
MoveEvent(x=1085, y=273, time=1643694477.747304)
MoveEvent(x=1119, y=275, time=1643694477.755304)
MoveEvent(x=1119, y=275, time=1643694477.755304)
MoveEvent(x=1149, y=279, time=1643694477.763307)
MoveEvent(x=1149, y=279, time=1643694477.763307)
MoveEvent(x=1181, y=281, time=1643694477.7713)
MoveEvent(x=1181, y=281, time=1643694477.7713)
MoveEvent(x=1215, y=285, time=1643694477.779305)
MoveEvent(x=1215, y=285, time=1643694477.779305)
MoveEvent(x=1249, y=287, time=1643694477.7873)
MoveEvent(x=1249, y=287, time=1643694477.7873)
MoveEvent(x=1281, y=289, time=1643694477.795305)
MoveEvent(x=1281, y=289, time=1643694477.795305)
MoveEvent(x=1319, y=291, time=1643694477.803303)
MoveEvent(x=1319, y=291, time=1643694477.803303)
MoveEvent(x=1357, y=291, time=1643694477.811301)
MoveEvent(x=1397, y=291, time=1643694477.819303)
MoveEvent(x=1439, y=291, time=1643694477.827303)
MoveEvent(x=1481, y=291, time=1643694477.835301)
MoveEvent(x=1525, y=291, time=1643694477.843301)
MoveEvent(x=1571, y=291, time=1643694477.851303)
MoveEvent(x=1609, y=291, time=1643694477.859302)
